author,total_messages,total_words,avg_messages_per_day,avg_words_per_day
Koko,3,8,0.00819672131147541,0.02185792349726776
Rep. Lincoln Madison,1,3,0.00273224043715847,0.00819672131147541
Rep. Frank Underwood (D-SC),2,3,0.00546448087431694,0.00819672131147541
Minority Ldr. John Cheems (D-MS),24,263,0.06557377049180328,0.7185792349726776
John Bramnick,1,1,0.00273224043715847,0.00273224043715847
Magnus Lehnsh (D-TX20),21,125,0.05737704918032787,0.34153005464480873
Kallahan,1,4,0.00273224043715847,0.01092896174863388
S_44,3,3,0.00819672131147541,0.00819672131147541
📚🇹🇷 _ 𝐈𝐍𝐍𝐎𝐂𝐄𝐍𝐓𝐈 ✵,6,24,0.01639344262295082,0.06557377049180328
𝘳𝘢𝘺𝘢 is ur mom,2,4,0.00546448087431694,0.01092896174863388
Secretary of State Taylor (i),18,113,0.04918032786885246,0.3087431693989071
Emma Watson _3,10,15,0.0273224043715847,0.040983606557377046
dn ✔,4,44,0.01092896174863388,0.12021857923497267
harrye,12,106,0.03278688524590164,0.2896174863387978
BasedDepartmint,5,10,0.01366120218579235,0.0273224043715847
Goonfumaster,1,2,0.00273224043715847,0.00546448087431694
Senate MajLdr Long (R-FT),47,644,0.1284153005464481,1.7595628415300546
SecInt Hazumi Matsumoto (D-FT),4,45,0.01092896174863388,0.12295081967213115
Jinnn Madarin,5,10,0.01366120218579235,0.0273224043715847
Donald J. Trump,2,7,0.00546448087431694,0.01912568306010929
Rep. Henry Madison (D-TX-FT),2,4,0.00546448087431694,0.01092896174863388
Arthur calhoun,1,39,0.00273224043715847,0.10655737704918032
ˢ¹ Galactic,1,39,0.00273224043715847,0.10655737704918032
Rep. Jed Bartlet (D-N.H.),3,57,0.00819672131147541,0.1557377049180328
Joseph McCarthy (LN),128,1074,0.34972677595628415,2.9344262295081966
Knugen,5,133,0.01366120218579235,0.3633879781420765
Rep. Gabbard (I-HI),2,3,0.00546448087431694,0.00819672131147541
Nameless,31,148,0.08469945355191257,0.40437158469945356
The Merry Dude,10,32,0.0273224043715847,0.08743169398907104
Rep. Jennings of Lincoln,22,133,0.060109289617486336,0.3633879781420765
ColeTrain,1,4,0.00273224043715847,0.01092896174863388
LuisV,3,7,0.00819672131147541,0.01912568306010929
HPO. Alexander (IND-J),159,1020,0.4344262295081967,2.7868852459016393
Rep. Diego Cortez (D-CT),3,5,0.00819672131147541,0.01366120218579235
Rep. Megan Moroney {R-KS},5,14,0.01366120218579235,0.03825136612021858
Rep. Mark Greenwood (D-OK),78,525,0.21311475409836064,1.4344262295081966
Joem,3,5,0.00819672131147541,0.01366120218579235
